站名,经度,维度
三亚,109.4993981,18.3023836
神州,110.3144405,18.73098083
万宁,110.3877714,18.81386668
文昌,110.7441095,19.61228413
安化,111.1071535,28.0399154
澧县,111.6109974,29.82545011
石门县北,111.4411505,29.6065978
常德,111.701486,29.07755158
郴州,113.039763,25.81384168
郴州西,112.9765224,25.741715
辰溪,110.2617835,27.88498431
衡山西,112.7957572,27.2535123
衡山,112.7957572,27.2535123
祁东,112.0721282,26.76631362
衡阳,112.6376215,26.89569625
衡阳东,112.7161967,26.90223487
怀化,109.9737082,27.56350944
麻阳,109.8098149,27.86188142
会同,109.7387126,26.88853724
吉首,109.7415536,28.33072427
靖州,109.6946635,26.57257768
耒阳西,112.7948453,26.4200966
耒阳,112.8293441,26.4097362
冷水江东,111.5004442,27.69092088
涟源,111.6821154,27.69093179
临湘,113.4905325,29.48093742
娄底,112.0127097,27.74587424
锦和,109.6116632,27.72691811
汨罗东,113.1508441,28.7514744
汨罗,113.0822678,28.81943187
祁阳,111.8383404,26.614806
韶山,112.5305262,27.93080958
邵东,111.7566227,27.27766191
邵阳,111.4676555,27.21939368
石门县,111.3743147,29.59470997
通道,109.6386645,26.32211424
塘豹,109.6286879,26.2131023
湘潭,112.9196331,27.88092705
猛洞河,109.9954169,28.69856982
湘乡,112.5359054,27.75063874
新化,111.3110955,27.73379986
新晃,109.2033309,27.35424005
低庄,110.7221904,28.05503752
溆浦,110.5843949,27.93244973
益阳,112.4016646,28.50286948
马田墟,112.8922138,26.10812093
永州,111.5774556,26.46019271
路口铺,113.3725039,29.51582038
岳阳东,113.2146284,29.37198588
岳阳,113.1266464,29.3820941
慈利,111.12545,29.42272036
张家界,110.493057,29.11056812
长沙,113.019607,28.19959597
长沙南,113.0718382,28.15265108
泸阳,110.1011858,27.60838433
株洲,113.1633048,27.84118456
株洲西,113.0751713,27.79669941
梅江,109.056149,28.2679295
古里金,122.818557,47.85725834
完工,118.9046447,49.19225492
哈尔滨东,126.7174209,45.79423277
换新天,133.0763014,47.37416424
建三江,132.6490676,47.25895741
安达,125.3287053,46.40888934
羊草,125.4319691,46.34042549
北安,126.5188199,48.24168633
二井,126.5345408,48.36284572
佛岭,130.5829806,45.63366062
勃利,130.5663437,45.76193235
互助,130.6908888,45.80258642
通天屯,130.5532171,45.71785015
八村,124.741252,46.30390839
林源,124.7707673,46.35033142
向阳村,124.5794833,46.07559859
新华屯,124.6381402,46.15392374
立志,124.5774776,46.00104491
兴无,124.687451,46.21670343
泰康,124.4545548,46.87729435
烟筒屯,124.1744287,47.00971121
高家,124.561468,46.82031606
银浪,124.8684548,46.50265192
创业村,124.8067538,46.41098634
卧里屯,125.2249015,46.47567514
喇嘛甸,124.7872558,46.71377726
壮志,124.855955,46.64688841
独立屯,124.8565143,46.57838688
大庆西,124.8926415,46.66245691
大庆,125.0188757,46.60391606
韩家园,125.7502329,52.07529896
碧水,123.672759,52.12414984
呼源,123.584409,51.7394052
呼中,123.6131923,52.04224999
加格达奇,124.1326131,50.42689826
加南,124.1687526,50.33176366
松树林,124.2529822,50.53520943
白桦排,124.2048469,50.24355046
翠峰,124.2946749,50.62278415
漠河,122.5182917,52.99598278
古莲,122.3854939,52.96687552
阿木尔,123.1693672,52.86729882
长缨,123.3357536,52.87312429
图强,122.8049915,52.94345747
大扬气,124.2068271,51.01147499
古源,124.3267156,50.93740075
劲松,124.1957408,51.07337873
小扬气,124.2942576,50.80156611
新天,124.2448632,51.29931798
塔河,124.7127293,52.34504703
蒙克山,124.223171,52.65274195
聂河,123.5740369,52.76606925
盘古,123.8851102,52.71069182
瓦拉干,124.5533812,52.59568088
绣峰,124.6140581,52.49976762
育英,122.6302807,52.96919659
碧州,124.6209399,51.95549181
翠岗,124.7015217,52.0494371
大乌苏,124.5423638,51.79703185
宏图,124.1658351,51.61683271
塔尔根,124.729669,52.24791804
塔源,124.2963306,51.45766754
太阳沟,124.3309098,51.33259829
林海,124.3650882,51.58548136
新林,124.418334,51.68690832
